ID,ID список профессий,№ группы,Вес профессии в соответсвии,Уровень должности,Вес профессии в уровне,Наименование професии и различные написания
683,124,36,0,4,1,Электромеханик по средствам автоматики и приборам технологического оборудования 8 разряд
684,125,37,1,0,1,Мехатроник
685,125,37,0,0,0,Специалист по мехатронным системам автомобиля
686,125,37,0,0,0,Автомехатроник по ремонту автотранспортных средств (АТС)
687,125,37,0,0,0,Автомехатроник
688,125,37,0,0,0,Специалист по мехатронике в автомобилестроении
689,125,37,0,0,0,Техник-мехатроник
690,125,37,0,1,1,Стажер мехатроник
691,125,37,0,2,1,Младший мехатроник
692,125,37,0,3,1,Ведущий мехатроник
693,126,38,1,0,1,Электромонтер
694,126,38,0,0,0,Дежурный электромонтер
695,126,38,0,0,0,Электромонтер по ремонту и обслуживанию электрооборудования
696,126,38,0,1,1,Электромонтер по ремонту и обслуживанию электрооборудования 1-го разряда
697,126,38,0,2,1,Электромонтер по ремонту и обслуживанию электрооборудования 2-го разряда
698,126,38,0,2,1,Электромонтер по ремонту и обслуживанию электрооборудования 3-го разряда
699,126,38,0,2,1,Электромонтер по ремонту и обслуживанию электрооборудования 4-го разряда
700,126,38,0,3,1,Электромонтер по ремонту и обслуживанию электрооборудования 5-го разряда
701,126,38,0,3,1,Электромонтер по ремонту и обслуживанию электрооборудования 6-го разряда
