ID,ID список профессий,№ группы,Вес профессии в соответсвии,Уровень должности,Вес профессии в уровне,Наименование професии и различные написания
220,36,29,0,0,0,турагент
221,36,29,0,0,0,Онлайн-турагент
222,36,29,0,0,0,Турагент (онлайн)
223,36,29,0,0,0,Онлайн-турагент
224,36,29,0,0,0,Менеджер по туризму / турагент
225,36,29,0,1,1,Ассистент менеджера по въездному туризму
226,36,29,0,1,0,Помощник менеджера по туризму
227,36,29,0,1,0,Стажер-Менеджер по туризму
228,36,29,0,1,0,Помощник менеджера по туризму (Стажёр)
229,36,29,0,1,0,стажер турагент
230,36,29,0,1,0,Помощник турагента
231,36,29,0,2,1,Младший менеджер по въездному туризму
232,36,29,0,2,0,Младший менеджер по внутреннему туризму
233,36,29,0,2,0,Младший турагент
234,36,29,0,2,0,начинающий турагент
235,36,29,0,2,0,Начинающий менеджер по внутреннему туризму
236,36,29,0,2,0,Начинающий менеджер по туризму
237,36,29,0,3,1,Ведущий менеджер по въездному туризму
238,36,29,0,3,0,Ведущий турагент
239,36,29,0,4,1,Старший менеджер по въездному туризму
240,36,29,0,4,0,Старший турагент
241,36,29,0,4,0,Главный турагент
242,36,29,0,4,0,Главный менеджер по туризму
243,37,29,1,0,0,менеджер по выездному туризму
244,37,29,0,0,0,менеджер по туризму
245,37,29,0,0,0,Специалист по туризму
246,37,29,0,0,0,турагент
247,37,29,0,0,0,Онлайн-турагент
248,37,29,0,0,0,Турагент (онлайн)
249,37,29,0,0,0,Онлайн-турагент
250,37,29,0,0,0,Менеджер по туризму / турагент
251,37,29,0,1,1,Ассистент менеджера по выездному туризму
252,37,29,0,1,0,Помощник менеджера по туризму
253,37,29,0,1,0,Стажер-Менеджер по туризму
254,37,29,0,1,0,Помощник менеджера по туризму (Стажёр)
255,37,29,0,1,0,стажер турагент
256,37,29,0,1,0,Помощник турагента
257,37,29,0,2,1,Младший менеджер по выездному туризму
258,37,29,0,2,0,Младший менеджер по внутреннему туризму
259,37,29,0,2,0,Младший турагент
260,37,29,0,2,0,начинающий турагент
261,37,29,0,2,0,Начинающий менеджер по внутреннему туризму
262,37,29,0,2,0,Начинающий менеджер по туризму
263,37,29,0,3,1,Ведущий менеджер по выездному туризму
264,37,29,0,3,0,Ведущий турагент
265,37,29,0,4,1,Старший менеджер по выездному туризму
266,37,29,0,4,0,Старший турагент
267,37,29,0,4,0,Главный турагент
268,38,30,1,0,0,тревел-консультант
269,38,30,0,0,0,Тревел-консультант (удаленно)
270,39,31,1,0,0,менеджер по продажам (туров)
271,39,31,0,0,0,Менеджер по продажам туров (удаленно)
272,39,31,0,0,0,Менеджер по продажам туров
273,40,32,1,0,0,менеджер по продажам в сфере туризма
